,circuitId,url,circuitName,Location
0,adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,"{'lat': '-34.9272', 'long': '138.617', 'locality': 'Adelaide', 'country': 'Australia'}"
1,ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,"{'lat': '33.5786', 'long': '-7.6875', 'locality': 'Casablanca', 'country': 'Morocco'}"
2,aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,"{'lat': '53.4769', 'long': '-2.94056', 'locality': 'Liverpool', 'country': 'UK'}"
3,albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,"{'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}"
4,americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,"{'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}"
5,anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway,Scandinavian Raceway,"{'lat': '57.2653', 'long': '13.6042', 'locality': 'Anderstorp', 'country': 'Sweden'}"
6,avus,http://en.wikipedia.org/wiki/AVUS,AVUS,"{'lat': '52.4806', 'long': '13.2514', 'locality': 'Berlin', 'country': 'Germany'}"
7,bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,"{'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}"
8,baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,"{'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}"
9,boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,"{'lat': '41.1705', 'long': '-8.67325', 'locality': 'Oporto', 'country': 'Portugal'}"
10,brands_hatch,http://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch,"{'lat': '51.3569', 'long': '0.263056', 'locality': 'Kent', 'country': 'UK'}"
11,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}"
12,buddh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,"{'lat': '28.3487', 'long': '77.5331', 'locality': 'Uttar Pradesh', 'country': 'India'}"
13,catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,"{'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}"
14,charade,http://en.wikipedia.org/wiki/Charade_Circuit,Charade Circuit,"{'lat': '45.7472', 'long': '3.03889', 'locality': 'Clermont-Ferrand', 'country': 'France'}"
15,dallas,http://en.wikipedia.org/wiki/Fair_Park,Fair Park,"{'lat': '32.7774', 'long': '-96.7587', 'locality': 'Dallas', 'country': 'USA'}"
16,detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,"{'lat': '42.3298', 'long': '-83.0401', 'locality': 'Detroit', 'country': 'USA'}"
17,dijon,http://en.wikipedia.org/wiki/Dijon-Prenois,Dijon-Prenois,"{'lat': '47.3625', 'long': '4.89913', 'locality': 'Dijon', 'country': 'France'}"
18,donington,http://en.wikipedia.org/wiki/Donington_Park,Donington Park,"{'lat': '52.8306', 'long': '-1.37528', 'locality': 'Castle Donington', 'country': 'UK'}"
19,essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}"
20,estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,Autódromo do Estoril,"{'lat': '38.7506', 'long': '-9.39417', 'locality': 'Estoril', 'country': 'Portugal'}"
21,fuji,http://en.wikipedia.org/wiki/Fuji_Speedway,Fuji Speedway,"{'lat': '35.3717', 'long': '138.927', 'locality': 'Oyama', 'country': 'Japan'}"
22,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,"{'lat': '-34.6943', 'long': '-58.4593', 'locality': 'Buenos Aires', 'country': 'Argentina'}"
23,george,http://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,"{'lat': '-33.0486', 'long': '27.8736', 'locality': 'Eastern Cape Province', 'country': 'South Africa'}"
24,hockenheimring,http://en.wikipedia.org/wiki/Hockenheimring,Hockenheimring,"{'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}"
25,hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,"{'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}"
26,imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Enzo e Dino Ferrari,"{'lat': '44.3439', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}"
27,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}"
28,interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,"{'lat': '-23.7036', 'long': '-46.6997', 'locality': 'São Paulo', 'country': 'Brazil'}"
29,istanbul,http://en.wikipedia.org/wiki/Istanbul_Park,Istanbul Park,"{'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}"
30,jacarepagua,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Autódromo Internacional Nelson Piquet,"{'lat': '-22.9756', 'long': '-43.395', 'locality': 'Rio de Janeiro', 'country': 'Brazil'}"
31,jarama,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,Jarama,"{'lat': '40.6171', 'long': '-3.58558', 'locality': 'Madrid', 'country': 'Spain'}"
32,jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,"{'lat': '21.6319', 'long': '39.1044', 'locality': 'Jeddah', 'country': 'Saudi Arabia'}"
33,jerez,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,Circuito de Jerez,"{'lat': '36.7083', 'long': '-6.03417', 'locality': 'Jerez de la Frontera', 'country': 'Spain'}"
34,kyalami,http://en.wikipedia.org/wiki/Kyalami,Kyalami,"{'lat': '-25.9894', 'long': '28.0767', 'locality': 'Midrand', 'country': 'South Africa'}"
35,las_vegas,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada",Las Vegas Street Circuit,"{'lat': '36.1162', 'long': '-115.174', 'locality': 'Nevada', 'country': 'USA'}"
36,lemans,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,Le Mans,"{'lat': '47.95', 'long': '0.224231', 'locality': 'Le Mans', 'country': 'France'}"
37,long_beach,"http://en.wikipedia.org/wiki/Long_Beach,_California",Long Beach,"{'lat': '33.7651', 'long': '-118.189', 'locality': 'California', 'country': 'USA'}"
38,losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,"{'lat': '25.49', 'long': '51.4542', 'locality': 'Al Daayen', 'country': 'Qatar'}"
39,magny_cours,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,Circuit de Nevers Magny-Cours,"{'lat': '46.8642', 'long': '3.16361', 'locality': 'Magny Cours', 'country': 'France'}"
40,marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,"{'lat': '1.2914', 'long': '103.864', 'locality': 'Marina Bay', 'country': 'Singapore'}"
41,miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,"{'lat': '25.9581', 'long': '-80.2389', 'locality': 'Miami', 'country': 'USA'}"
42,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,"{'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}"
43,monsanto,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,Monsanto Park Circuit,"{'lat': '38.7197', 'long': '-9.20306', 'locality': 'Lisbon', 'country': 'Portugal'}"
44,montjuic,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,Montjuïc,"{'lat': '41.3664', 'long': '2.15167', 'locality': 'Barcelona', 'country': 'Spain'}"
45,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}"
46,mosport,http://en.wikipedia.org/wiki/Mosport,Mosport International Raceway,"{'lat': '44.0481', 'long': '-78.6756', 'locality': 'Ontario', 'country': 'Canada'}"
47,mugello,http://en.wikipedia.org/wiki/Mugello_Circuit,Autodromo Internazionale del Mugello,"{'lat': '43.9975', 'long': '11.3719', 'locality': 'Mugello', 'country': 'Italy'}"
48,nivelles,http://en.wikipedia.org/wiki/Nivelles-Baulers,Nivelles-Baulers,"{'lat': '50.6211', 'long': '4.32694', 'locality': 'Brussels', 'country': 'Belgium'}"
49,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}"
50,okayama,http://en.wikipedia.org/wiki/TI_Circuit,Okayama International Circuit,"{'lat': '34.915', 'long': '134.221', 'locality': 'Okayama', 'country': 'Japan'}"
51,pedralbes,http://en.wikipedia.org/wiki/Pedralbes_Circuit,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}"
52,pescara,http://en.wikipedia.org/wiki/Pescara_Circuit,Pescara Circuit,"{'lat': '42.475', 'long': '14.1508', 'locality': 'Pescara', 'country': 'Italy'}"
53,phoenix,http://en.wikipedia.org/wiki/Phoenix_street_circuit,Phoenix street circuit,"{'lat': '33.4479', 'long': '-112.075', 'locality': 'Phoenix', 'country': 'USA'}"
54,portimao,http://en.wikipedia.org/wiki/Algarve_International_Circuit,Autódromo Internacional do Algarve,"{'lat': '37.227', 'long': '-8.6267', 'locality': 'Portimão', 'country': 'Portugal'}"
55,red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,"{'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}"
56,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}"
57,ricard,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,Circuit Paul Ricard,"{'lat': '43.2506', 'long': '5.79167', 'locality': 'Le Castellet', 'country': 'France'}"
58,riverside,http://en.wikipedia.org/wiki/Riverside_International_Raceway,Riverside International Raceway,"{'lat': '33.937', 'long': '-117.273', 'locality': 'California', 'country': 'USA'}"
59,rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,"{'lat': '19.4042', 'long': '-99.0907', 'locality': 'Mexico City', 'country': 'Mexico'}"
60,sebring,http://en.wikipedia.org/wiki/Sebring_Raceway,Sebring International Raceway,"{'lat': '27.4547', 'long': '-81.3483', 'locality': 'Florida', 'country': 'USA'}"
61,sepang,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang International Circuit,"{'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}"
62,shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,"{'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}"
63,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}"
64,sochi,http://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi Autodrom,"{'lat': '43.4057', 'long': '39.9578', 'locality': 'Sochi', 'country': 'Russia'}"
65,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}"
66,suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,"{'lat': '34.8431', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}"
67,tremblant,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Circuit Mont-Tremblant,"{'lat': '46.1877', 'long': '-74.6099', 'locality': 'Quebec', 'country': 'Canada'}"
68,valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia Street Circuit,"{'lat': '39.4589', 'long': '-0.331667', 'locality': 'Valencia', 'country': 'Spain'}"
69,villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,"{'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}"
70,watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,"{'lat': '42.3369', 'long': '-76.9272', 'locality': 'New York State', 'country': 'USA'}"
71,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,"{'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}"
72,yeongam,http://en.wikipedia.org/wiki/Korean_International_Circuit,Korean International Circuit,"{'lat': '34.7333', 'long': '126.417', 'locality': 'Yeongam County', 'country': 'Korea'}"
73,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,"{'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}"
74,zeltweg,http://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,"{'lat': '47.2039', 'long': '14.7478', 'locality': 'Styria', 'country': 'Austria'}"
75,zolder,http://en.wikipedia.org/wiki/Zolder,Zolder,"{'lat': '50.9894', 'long': '5.25694', 'locality': 'Heusden-Zolder', 'country': 'Belgium'}"
